datetime,total_vol
12/30/2009,0
12/31/2009,0
1/1/2010,0
1/2/2010,100
1/3/2010,0
1/4/2010,20778
1/5/2010,0
1/6/2010,0
1/7/2010,0
1/8/2010,0
1/9/2010,0
1/10/2010,0
1/11/2010,0
1/12/2010,10749
1/13/2010,6
1/14/2010,1
1/15/2010,400
1/16/2010,201
1/17/2010,251
1/18/2010,0
1/19/2010,23
1/20/2010,0
1/21/2010,210
1/22/2010,200
1/23/2010,1
1/24/2010,54
1/25/2010,3275
1/26/2010,725
1/27/2010,200
1/28/2010,1850
1/29/2010,550
1/30/2010,800
1/31/2010,1650
2/1/2010,2700
2/2/2010,0
2/3/2010,1350
2/4/2010,350
2/5/2010,13768
2/6/2010,1300
2/7/2010,802
2/8/2010,7004
2/9/2010,200
2/10/2010,51000
2/11/2010,800
2/12/2010,8825
2/13/2010,2199
2/14/2010,19500
2/15/2010,3065
2/16/2010,2014
2/17/2010,36500
2/18/2010,7413
2/19/2010,700
2/20/2010,50
2/21/2010,1553
2/22/2010,19551
2/23/2010,50
2/24/2010,5300
2/25/2010,700
2/26/2010,13162
2/27/2010,450
2/28/2010,5250
3/1/2010,1000
3/2/2010,2600
3/3/2010,250
3/4/2010,10300
3/5/2010,19150
3/6/2010,23646
3/7/2010,7555
3/8/2010,9011
3/9/2010,4000
3/10/2010,1351
3/11/2010,4351
3/12/2010,250
3/13/2010,1900
3/14/2010,1550
3/15/2010,7
3/16/2010,150
3/17/2010,2151
3/18/2010,240
3/19/2010,8820
3/20/2010,3866
3/21/2010,1567
3/22/2010,2650
3/23/2010,3703
3/24/2010,1336
3/25/2010,24500
3/26/2010,2502
3/27/2010,4225
3/28/2010,1900
3/29/2010,3650
3/30/2010,550
3/31/2010,1050
4/1/2010,1473
4/2/2010,1400
4/3/2010,1672
4/4/2010,2107
4/5/2010,4210
4/6/2010,10305
4/7/2010,5499
4/8/2010,3238
4/9/2010,2410
4/10/2010,22838
4/11/2010,10413
4/12/2010,23619
4/13/2010,3277
4/14/2010,5149
4/15/2010,45814
4/16/2010,7691
4/17/2010,7856
4/18/2010,8830
4/19/2010,9091
4/20/2010,31926
4/21/2010,3945
4/22/2010,22122
4/23/2010,4588
4/24/2010,2816
4/25/2010,7651
4/26/2010,8540
4/27/2010,13402
4/28/2010,6769
4/29/2010,5428
4/30/2010,33252
5/1/2010,7679
5/2/2010,2229
5/3/2010,7653
5/4/2010,5960
5/5/2010,25978
5/6/2010,9500
5/7/2010,37872
5/8/2010,3211
5/9/2010,22978
5/10/2010,5951
5/11/2010,4850
5/12/2010,9450
5/13/2010,20128
5/14/2010,12033
5/15/2010,3758
5/16/2010,2689
